show_id,raw_date,parsed_date
s1,2021-09-25,2021-09-25
s2,2021-09-24,2021-09-24
s3,2021-09-24,2021-09-24
s4,2021-09-24,2021-09-24
s5,2021-09-24,2021-09-24
s6,2021-09-24,2021-09-24
s7,2021-09-24,2021-09-24
s8,2021-09-24,2021-09-24
s9,2021-09-24,2021-09-24
s10,2021-09-24,2021-09-24
s11,2021-09-24,2021-09-24
s12,2021-09-23,2021-09-23
s13,2021-09-23,2021-09-23
s14,2021-09-22,2021-09-22
s15,2021-09-22,2021-09-22
s16,2021-09-22,2021-09-22
s17,2021-09-22,2021-09-22
s18,2021-09-22,2021-09-22
s19,2021-09-22,2021-09-22
s20,2021-09-22,2021-09-22
s21,2021-09-22,2021-09-22
s22,2021-09-22,2021-09-22
s23,2021-09-21,2021-09-21
s24,2021-09-21,2021-09-21
s25,2021-09-21,2021-09-21
s26,2021-09-21,2021-09-21
s27,2021-09-21,2021-09-21
s28,2021-09-20,2021-09-20
s29,2021-09-19,2021-09-19
s30,2021-09-19,2021-09-19
s31,2021-09-17,2021-09-17
s32,2021-09-17,2021-09-17
s33,2021-09-17,2021-09-17
s34,2021-09-17,2021-09-17
s35,2021-09-17,2021-09-17
s36,2021-09-17,2021-09-17
s37,2021-09-17,2021-09-17
s38,2021-09-16,2021-09-16
s39,2021-09-16,2021-09-16
s40,2021-09-16,2021-09-16
s41,2021-09-16,2021-09-16
s42,2021-09-16,2021-09-16
s43,2021-09-16,2021-09-16
s44,2021-09-16,2021-09-16
s45,2021-09-16,2021-09-16
s46,2021-09-16,2021-09-16
s47,2021-09-16,2021-09-16
s48,2021-09-16,2021-09-16
s49,2021-09-16,2021-09-16
s50,2021-09-15,2021-09-15
s51,2021-09-15,2021-09-15
s52,2021-09-15,2021-09-15
s53,2021-09-15,2021-09-15
s54,2021-09-15,2021-09-15
s55,2021-09-15,2021-09-15
s56,2021-09-15,2021-09-15
s57,2021-09-15,2021-09-15
s58,2021-09-15,2021-09-15
s59,2021-09-15,2021-09-15
s60,2021-09-15,2021-09-15
s61,2021-09-15,2021-09-15
s62,2021-09-15,2021-09-15
s63,2021-09-15,2021-09-15
s64,2021-09-15,2021-09-15
s65,2021-09-15,2021-09-15
s66,2021-09-15,2021-09-15
s67,2021-09-15,2021-09-15
s68,2021-09-15,2021-09-15
s69,2021-09-15,2021-09-15
s70,2021-09-15,2021-09-15
s71,2021-09-15,2021-09-15
s72,2021-09-14,2021-09-14
s73,2021-09-14,2021-09-14
s74,2021-09-14,2021-09-14
s75,2021-09-14,2021-09-14
s76,2021-09-14,2021-09-14
s77,2021-09-14,2021-09-14
s78,2021-09-11,2021-09-11
s79,2021-09-11,2021-09-11
s80,2021-09-11,2021-09-11
s81,2021-09-10,2021-09-10
s82,2021-09-10,2021-09-10
s83,2021-09-10,2021-09-10
s84,2021-09-10,2021-09-10
s85,2021-09-10,2021-09-10
s86,2021-09-10,2021-09-10
s87,2021-09-10,2021-09-10
s88,2021-09-10,2021-09-10
s89,2021-09-09,2021-09-09
s90,2021-09-09,2021-09-09
s91,2021-09-09,2021-09-09
s92,2021-09-09,2021-09-09
s93,2021-09-08,2021-09-08
s94,2021-09-08,2021-09-08
s95,2021-09-08,2021-09-08
s96,2021-09-08,2021-09-08
s97,2021-09-07,2021-09-07
s98,2021-09-07,2021-09-07
s99,2021-09-07,2021-09-07
s100,2021-09-07,2021-09-07
s101,2021-09-07,2021-09-07
s102,2021-09-07,2021-09-07
s103,2021-09-06,2021-09-06
s104,2021-09-06,2021-09-06
s105,2021-09-06,2021-09-06
s106,2021-09-05,2021-09-05
s107,2021-09-05,2021-09-05
s108,2021-09-04,2021-09-04
s109,2021-09-03,2021-09-03
s110,2021-09-03,2021-09-03
s111,2021-09-03,2021-09-03
s112,2021-09-03,2021-09-03
s113,2021-09-03,2021-09-03
s114,2021-09-02,2021-09-02
s115,2021-09-02,2021-09-02
s116,2021-09-02,2021-09-02
s117,2021-09-02,2021-09-02
s118,2021-09-02,2021-09-02
s119,2021-09-02,2021-09-02
s120,2021-09-02,2021-09-02
s121,2021-09-02,2021-09-02
s122,2021-09-02,2021-09-02
s123,2021-09-02,2021-09-02
s124,2021-09-02,2021-09-02
s125,2021-09-02,2021-09-02
s126,2021-09-02,2021-09-02
s127,2021-09-02,2021-09-02
s128,2021-09-01,2021-09-01
s129,2021-09-01,2021-09-01
s130,2021-09-01,2021-09-01
s131,2021-09-01,2021-09-01
s132,2021-09-01,2021-09-01
s133,2021-09-01,2021-09-01
s134,2021-09-01,2021-09-01
s135,2021-09-01,2021-09-01
s136,2021-09-01,2021-09-01
s137,2021-09-01,2021-09-01
s138,2021-09-01,2021-09-01
s139,2021-09-01,2021-09-01
s140,2021-09-01,2021-09-01
s141,2021-09-01,2021-09-01
s142,2021-09-01,2021-09-01
s143,2021-09-01,2021-09-01
s144,2021-09-01,2021-09-01
s145,2021-09-01,2021-09-01
s146,2021-09-01,2021-09-01
s147,2021-09-01,2021-09-01
s148,2021-09-01,2021-09-01
s149,2021-09-01,2021-09-01
s150,2021-09-01,2021-09-01
s151,2021-09-01,2021-09-01
s152,2021-09-01,2021-09-01
s153,2021-09-01,2021-09-01
s154,2021-09-01,2021-09-01
s155,2021-09-01,2021-09-01
s156,2021-09-01,2021-09-01
s157,2021-09-01,2021-09-01
s158,2021-09-01,2021-09-01
s159,2021-09-01,2021-09-01
s160,2021-09-01,2021-09-01
s161,2021-09-01,2021-09-01
s162,2021-09-01,2021-09-01
s163,2021-09-01,2021-09-01
s164,2021-09-01,2021-09-01
s165,2021-09-01,2021-09-01
s166,2021-09-01,2021-09-01
s167,2021-09-01,2021-09-01
s168,2021-09-01,2021-09-01
s169,2021-09-01,2021-09-01
s170,2021-09-01,2021-09-01
s171,2021-09-01,2021-09-01
s172,2021-09-01,2021-09-01
s173,2021-09-01,2021-09-01
s174,2021-09-01,2021-09-01
s175,2021-09-01,2021-09-01
s176,2021-09-01,2021-09-01
s177,2021-09-01,2021-09-01
s178,2021-09-01,2021-09-01
s179,2021-09-01,2021-09-01
s180,2021-09-01,2021-09-01
s181,2021-09-01,2021-09-01
s182,2021-09-01,2021-09-01
s183,2021-09-01,2021-09-01
s184,2021-08-31,2021-08-31
s185,2021-08-31,2021-08-31
s186,2021-08-31,2021-08-31
s187,2021-08-29,2021-08-29
s188,2021-08-29,2021-08-29
s189,2021-08-28,2021-08-28
s190,2021-08-28,2021-08-28
