show_id,raw_duration,duration_int,duration_unit
s1,90 min,90,min
s2,2 Seasons,2,Seasons
s3,1 Season,1,Seasons
s4,1 Season,1,Seasons
s5,2 Seasons,2,Seasons
s6,1 Season,1,Seasons
s7,91 min,91,min
s8,125 min,125,min
s9,9 Seasons,9,Seasons
s10,104 min,104,min
s11,1 Season,1,Seasons
s12,1 Season,1,Seasons
s13,127 min,127,min
s14,91 min,91,min
s15,1 Season,1,Seasons
s16,4 Seasons,4,Seasons
s17,67 min,67,min
s18,2 Seasons,2,Seasons
s19,94 min,94,min
s20,1 Season,1,Seasons
s21,1 Season,1,Seasons
s22,5 Seasons,5,Seasons
s23,161 min,161,min
s24,61 min,61,min
s25,166 min,166,min
s26,2 Seasons,2,Seasons
s27,147 min,147,min
s28,103 min,103,min
s29,97 min,97,min
s30,106 min,106,min
s31,111 min,111,min
s32,1 Season,1,Seasons
s33,3 Seasons,3,Seasons
s34,1 Season,1,Seasons
s35,1 Season,1,Seasons
s36,110 min,110,min
s37,105 min,105,min
s38,1 Season,1,Seasons
s39,96 min,96,min
s40,3 Seasons,3,Seasons
s41,1 Season,1,Seasons
s42,124 min,124,min
s43,116 min,116,min
s44,98 min,98,min
s45,91 min,91,min
s46,23 min,23,min
s47,115 min,115,min
s48,1 Season,1,Seasons
s49,122 min,122,min
s50,2 Seasons,2,Seasons
s51,1 Season,1,Seasons
s52,99 min,99,min
s53,99 min,99,min
s54,88 min,88,min
s55,100 min,100,min
s56,6 Seasons,6,Seasons
s57,102 min,102,min
s58,93 min,93,min
s59,96 min,96,min
s60,95 min,95,min
s61,85 min,85,min
s62,97 min,97,min
s63,95 min,95,min
s64,83 min,83,min
s65,103 min,103,min
s66,6 Seasons,6,Seasons
s67,1 Season,1,Seasons
s68,9 Seasons,9,Seasons
s69,113 min,113,min
s70,1 Season,1,Seasons
s71,1 Season,1,Seasons
s72,13 min,13,min
s73,5 Seasons,5,Seasons
s74,182 min,182,min
