genre_id,genre_name
1,Action & Adventure
2,Anime Features
3,Anime Series
4,British TV Shows
5,Children & Family Movies
6,Classic & Cult TV
7,Classic Movies
8,Comedies
9,Crime TV Shows
10,Cult Movies
11,Documentaries
12,Docuseries
13,Dramas
14,Faith & Spirituality
15,Horror Movies
16,Independent Movies
17,International Movies
18,International TV Shows
19,Kids' TV
20,Korean TV Shows
21,LGBTQ Movies
22,Music & Musicals
23,Reality TV
24,Romantic Movies
25,Romantic TV Shows
26,Sci-Fi & Fantasy
27,Science & Nature TV
28,Spanish-Language TV Shows
29,Sports Movies
30,Stand-Up Comedy
31,TV Horror
32,TV Mysteries
33,TV Thrillers
34,Teen TV Shows
