show_id,genre_id
s1,11
s2,18
s2,13
s2,32
s3,9
s3,18
s3,1
s4,12
s4,23
s5,18
s5,25
s5,8
s6,13
s6,31
s6,32
s7,5
s8,13
s8,16
s8,17
s9,4
s9,23
s10,8
s10,13
s11,9
s11,12
s11,18
s12,9
s12,18
s12,1
s13,13
s13,17
s14,5
s14,8
s15,4
s15,9
s15,12
s16,8
s16,13
s17,11
s17,17
s18,9
s18,28
s18,13
s19,33
s20,18
s20,28
s20,1
s21,9
s21,12
s21,18
s22,18
s22,1
s22,13
s23,8
s23,17
s24,5
s25,8
s25,17
s25,24
s26,12
s26,18
s26,23
s27,8
s27,17
s27,22
s28,8
s29,15
s29,26
s30,33
s31,13
s31,16
s31,17
s32,8
s33,4
s33,18
s33,8
s34,18
s34,13
s34,33
s35,19
s36,13
s36,17
s36,33
s37,1
s37,13
s37,17
s38,19
s38,8
s39,1
s39,13
s40,19
s41,19
s41,26
s42,1
s42,7
s42,13
s43,13
s43,15
s43,33
s44,1
s44,15
s44,33
s45,1
s45,15
s45,33
s46,11
s47,1
s48,18
s48,25
s48,8
s49,13
s49,33
s50,18
s50,13
s51,18
s51,13
s51,26
s52,1
s52,2
s52,17
s53,1
s53,2
s53,17
s54,1
s54,2
s54,17
s55,1
s55,2
s55,17
s56,23
s57,1
s57,2
s57,17
s58,1
s58,2
s58,17
s59,1
s59,2
s59,17
s60,1
s60,2
s60,17
s61,1
s61,2
s61,17
s62,1
s62,2
s62,17
s63,1
s63,2
s63,17
s64,1
s64,2
s64,17
s65,5
s66,19
s67,12
s67,18
s68,19
s68,8
s69,11
s69,17
s69,29
s70,18
s70,13
s71,18
s71,23
s71,25
s72,5
s73,4
s73,12
s73,18
s74,13
s74,17
s75,23
s76,5
s77,3
s77,18
s78,5
s78,8
s79,8
s79,13
s79,17
s80,8
s80,13
s80,17
s81,5
s82,1
s83,9
s83,8
s83,13
s84,23
s85,1
s85,8
s85,13
s86,3
s86,19
s87,17
s87,33
s88,19
s88,20
s89,11
s89,29
s90,19
s91,26
s91,33
s92,11
s92,17
s93,18
s93,13
s93,32
s94,13
s94,17
s94,24
s95,5
s95,8
s96,23
s97,11
s97,22
s98,19
s98,8
s98,26
s99,4
s99,19
s100,8
s100,13
s101,19
s102,11
s102,29
s103,12
s103,27
s104,13
s104,17
s104,33
s105,19
s105,20
s106,1
s106,8
s106,13
s107,19
s107,8
s108,5
s108,13
s109,19
s109,13
s109,34
s110,9
s110,18
s110,28
s111,12
s111,18
s111,28
s112,19
s113,13
s114,8
s114,24
s115,13
s115,17
s115,33
s116,13
s116,24
s117,8
s117,13
s117,16
s118,11
s119,13
s119,17
s119,33
s120,13
s120,17
s120,24
s121,19
s121,8
s122,18
s122,25
s122,8
s123,33
s124,19
s125,19
s125,20
s126,9
s126,1
s126,8
s127,13
s127,17
s127,24
s128,5
s128,8
s129,13
s129,17
s129,33
s130,13
s131,5
s131,22
s132,1
s132,7
s132,10
s133,18
s133,1
s133,8
s134,1
s134,26
s135,1
s135,13
s136,1
s137,13
s137,24
s138,1
s138,8
s139,13
s139,24
s140,7
s140,8
s140,13
s141,13
s141,17
s141,33
s142,1
s143,13
s144,1
s144,26
s145,8
s145,10
s146,8
s146,10
s146,22
s147,8
s147,22
s148,23
s149,4
s150,1
s150,8
s151,33
s152,1
s152,17
s153,8
s154,19
s155,3
s155,18
s155,34
s156,1
s156,5
s156,10
s157,8
s157,13
s157,24
s158,26
s158,33
s159,8
s159,24
s160,8
s160,13
s160,17
s161,8
s162,8
s162,10
s162,26
s163,13
s164,8
s164,24
s165,1
s165,8
s166,9
s166,18
s166,28
s167,7
s167,13
s168,5
s168,8
s169,1
s169,5
s169,8
s170,1
s170,13
s171,11
s171,22
s172,13
s172,14
s173,8
s173,22
s174,11
s174,21
s175,1
s175,13
s176,13
s176,24
s177,1
s177,8
s178,1
s178,7
s179,1
s179,8
s180,8
s180,24
s181,8
s181,24
s182,12
s183,8
s184,1
s184,7
s185,23
s186,11
s186,29
s187,18
s187,25
s187,8
s188,18
s188,8
s189,8
s189,17
s190,19
s190,8
s191,13
s191,17
s192,13
s192,16
s193,1
s193,8
s193,17
s194,18
s194,13
s195,18
s195,28
s195,13
s196,8
s196,13
s196,17
s197,8
s197,24
s198,19
s198,8
s199,9
s199,18
s199,13
s200,8
s200,13
s200,17
s201,1
s201,15
s201,17
s202,13
s202,17
s202,33
s203,8
s203,17
s203,22
s204,8
s204,17
s205,8
s205,17
s206,8
s206,17
s206,26
s207,13
s207,16
s207,17
s208,1
s208,17
s208,22
s209,13
s209,17
s209,22
s210,13
s210,17
s210,22
s211,15
s211,17
s212,15
s212,17
s213,18
s213,13
s214,12
s214,18
s215,1
s215,17
s216,1
s216,13
s216,17
s217,8
s217,13
s217,16
s218,8
s218,13
s218,17
s219,23
s219,34
s220,3
